source_name,title,source_url,category,announcement_type,announcement_type_clean,publication_date,publication_year,publication_month,animal_type,animal_type_clean,pet_name,region,region_clean,city,city_clean,has_city,reward,has_reward,description_length,description_category,record_completeness,description
alertuj-ogloszenia.pl,Zaginął kot Flejek,https://alertuj-ogloszenia.pl/listing/zaginal-kot-flejek/,Zaginął Kotek,Zaginione,Zaginione,2026-05-30,2026,05,Kot,Kot,Flejek,pomorskie,pomorskie,Kartuzy,Kartuzy,Tak,,Nie,176,Średni opis,1.0,"Dwuletni samiec, szary, pręgowany z różowym nosem, wykastrowany, zaginął 28 maja na osiedlu Sikorskiego w Kartuzach. Wabi się Flejek. Znalazcę prosimy o kontakt pod numerem lub"
alertuj-ogloszenia.pl,Zaginął kot Łódź - Retkinia,https://alertuj-ogloszenia.pl/listing/zaginal-kot-lodz-retkinia/,Zaginął Kotek,Zaginione,Zaginione,2026-05-30,2026,05,Kot,Kot,Teo,łódzkie,łódzkie,Łódź,Łódź,Tak,,Nie,157,Średni opis,1.0,"27.05.26r. zaginął 2letni kot Teo. Kocurek reaguje na swoje imie, jest ufny i gadatliwy. Umaszczenie bialo-rude. Widziany ostatnio na Wyszynskiego-krańcówka."
alertuj-ogloszenia.pl,Zaginął piesek Miluś,https://alertuj-ogloszenia.pl/listing/zaginal-piesek-milus/,Zaginął Piesek,Zaginione,Zaginione,2026-05-29,2026,05,Pies,Pies,Miluś,podkarpackie,podkarpackie,Ropczycko-Sędziszowskim,Ropczycko-Sędziszowskim,Tak,Tak,Tak,130,Średni opis,1.0,"24.04.2026 w Nawsiu Miluś/Milek. Piesek rasy Chihuahua. Nie miał obroży. Dla osoby, która znajdzie pieska jest wyznaczona nagroda."
alertuj-ogloszenia.pl,Zaginęła Kotka Zija,https://alertuj-ogloszenia.pl/listing/zaginela-kotka-zija/,Zaginął Kotek,Zaginione,Zaginione,2026-05-29,2026,05,Kot,Kot,Zija,opolskie,opolskie,"Poznań, Grunwald","Poznań, Grunwald",Tak,,Nie,224,Średni opis,1.0,Zaginęła czarna młoda kotka. Ulica Kotowo (pogranicze Poznania i Lubonia). Ostatni raz widziana 2 dni temu. Na imię na Zija. Z cech charakterystycznych na bliznę po sterylizacji. Proszę o kontakt tylko pod nr telefonu: Agata
alertuj-ogloszenia.pl,Zaginął mój kotek Happy (Hepi),https://alertuj-ogloszenia.pl/listing/zaginal-moj-kotek-happy-hepi/,Zaginął Kotek,Zaginione,Zaginione,2026-05-29,2026,05,Kot,Kot,Happy (Hepi),dolnośląskie,dolnośląskie,Wrocław,Wrocław,Tak,,Nie,146,Średni opis,1.0,"Zaginął ulubiony kotek. Kot europejski, szary Wiek: 1 rok Oznakowany Imię: Happy (Hepi) Jeśli Państwo widzieli kota, proszę, o kontakt pod numerem"
alertuj-ogloszenia.pl,Zaginęła suczka Pusia,https://alertuj-ogloszenia.pl/listing/zaginela-suczka-pusia/,Zaginął Piesek,Zaginione,Zaginione,2026-05-28,2026,05,Pies,Pies,Pusia,podkarpackie,podkarpackie,Zawada,Zawada,Tak,,Nie,71,Krótki opis,1.0,"Pusia jest czarnym puchatym pieskiem, jest przyjazna, ma brązowe oczka."
alertuj-ogloszenia.pl,Zaginął kotek Rysiu,https://alertuj-ogloszenia.pl/listing/zaginal-kotek-rysiu/,Zaginął Kotek,Zaginione,Zaginione,2026-05-28,2026,05,Kot,Kot,Ryszard,mazowieckie,mazowieckie,Pułtusk,Pułtusk,Tak,,Nie,52,Krótki opis,1.0,"Rysiu to ładny, spokojny kotek. Może bać się obcych."
alertuj-ogloszenia.pl,Zaginęła kotka Mania,https://alertuj-ogloszenia.pl/listing/zaginela-kotka-mania/,Zaginął Kotek,Zaginione,Zaginione,2026-05-28,2026,05,Kot,Kot,Mania,dolnośląskie,dolnośląskie,Pastuchów,Pastuchów,Tak,200 PLN,Tak,328,Długi opis,1.0,"Nagroda 200 PLN Z soboty na niedzielę 24 maja 2026 r.w Pastuchowie nie wróciła do domu kotka Mania. Kotka jest wykastrowana ,ma chip,i nie ma jednego oczka. Gdyby ktoś z Państwa widział, bardzo proszę o telefon. GOSIA Pastuchów 58-150 Jaworzyna Śląska Ul.Wyzwolenia 24 Bardzo dziękuję za pomoc. Bardzo proszę o udostępnienianie🐈"
alertuj-ogloszenia.pl,Zaginęła kotka Tarusia,https://alertuj-ogloszenia.pl/listing/zaginela-kotka-tarusia/,Zaginął Kotek,Zaginione,Zaginione,2026-05-28,2026,05,Kot,Kot,Tara,łódzkie,łódzkie,Zgierz,Zgierz,Tak,,Nie,345,Długi opis,1.0,"Dzisiaj 28.05.2026 zaginęła kotka Tara. Wydarzyło się to w Zgierzu na osiedlu 650-lecia, obok Szkoły Podstawowej nr 12. Kicia ma charakterystyczną czarną plamkę na nosku. Tarusia raczej boi się ludzi więc nie podejdzie do nikogo obcego. Jest to kotek niewychodzący! ale uciekła. Jeśli ktoś ją zobaczy to bardzo prosimy dzwonić pod nr telefonu: ."
alertuj-ogloszenia.pl,Zaginęła kotka Rumba,https://alertuj-ogloszenia.pl/listing/zaginela-kotka-rumba/,Zaginął Kotek,Zaginione,Zaginione,2026-05-28,2026,05,Kot,Kot,Rumba,mazowieckie,mazowieckie,Duchnice,Duchnice,Tak,,Nie,526,Długi opis,1.0,"Kochani, w Duchnicach przy Ożarowskiej zaginęła nasza kotka, 3-letnia Rumba, szaro-biała/srebrna, ma chipa, zarejestrowana w dwóch bazach. Proszę sprawdźcie Wasze piwnice, garaże. Często jest tak, że się wślizgnie i jest przypadkowo zamknięta. Reaguje na Rumba, Rumcia, Ruma, Rumka. Kotka przyjmuje leki. Tęsknimy za nią. Będę zobowiązana za info zwrotne jeśli ją zobaczycie, a najlepiej gdy uda się ją złapać i iść do weta, który bezpłatnie zweryfikuje po numerze chipa, w bazach sprawdzi, a tam już są kontakty do mnie, tel."
